t,"counter Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:15:46-25289)",t.loRaGW[0],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[0].packetForwarder($0=""avg"", #0 - General-0-20210629-17:15:46-25289)",t.loRaGW[1],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[1].packetForwarder($0=""avg"", #0 - General-0-20210629-17:15:46-25289)",t.loRaGW[2],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[2].packetForwarder($0=""avg"", #0 - General-0-20210629-17:15:46-25289)",t.loRaGW[3],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[3].packetForwarder($0=""avg"", #0 - General-0-20210629-17:15:46-25289)",t.loRaGW[4],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[4].packetForwarder($0=""avg"", #0 - General-0-20210629-17:15:46-25289)","SF Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:15:46-25289)","TP Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:15:46-25289)","X Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:15:46-25289)","Y Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:15:46-25289)","Z Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:15:46-25289)"
137461.55667598607,82.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1518.0100997757,2795.3808152018,1.4762279626271
137542.5212493113,83.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1486.3090334421,2717.1664692301,1.4934496777881
138869.4354045299,84.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,966.76583169489,1435.3253065017,1.7756933392537
140490.66169275067,85.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1460.0689278483,1060.1502861815,1.8097390142763
141270.67496926247,86.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,141271.16853819723,-130.9958594938,10.0,14.0,2103.4822968547,1998.8021035081,1.5421329921295
141430.80554017873,87.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2157.6023858977,2277.1069692316,1.4668183552586
143455.69820825153,88.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1996.9260781434,3247.4694842008,1.6572552444439
143817.11483410443,89.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2075.4232813798,2711.6294090495,1.5225182524018
144809.39601973817,90.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2198.3800862067,1726.3567777517,1.2731126499711
145114.14038058431,91.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,145114.63394945057,-130.30799000238,10.0,14.0,2098.6175057405,2145.7009033432,1.3755826824858
